Year,State,Source,Vtype,Fuel,Occ,Distance,CO2,CO2_Equiv,CO,ElementC_PM25,NO2,NO,N2O,OrganicC_PM25,NOx,Total_PM10,Total_PM25,Brake_PM10,Tire_PM10,Brake_PM25,Tire_PM25,Sulfate_PM25,SO2,TotalEnergy,VOC
2020,11,62,Truck,2,2,1681177,18149.78461,18200.45175,93.63634168,0.784269592,41.12743869,107.9729642,0.002795066,1.292856731,150.3028319,3.34645311,3.078726987,0.188713027,0.033739458,0.023588831,0.00506074,0.502431927,0.061373669,246395.6732,15.1387748
2020,12,21,Private vehicle,1,2,5120725504,357.8159727,359.9557527,4.668998403,0.00114845,0.017813038,0.168062448,0.005699981,0.001499369,0.187374474,0.003746241,0.003313996,0.026243138,0.008979013,0.003280392,0.001346845,8.27E-05,0.002376995,4978.886479,0.290320887
2020,12,21,Private vehicle,2,2,36948240,375.3184221,375.6086201,4.027853884,0.00102354,0.0321467,0.091896258,0.000712483,0.000502893,0.125043304,0.002392293,0.002200917,0.026243117,0.008978993,0.0032804,0.001346857,0.000488738,0.001263497,5095.202444,0.107051567
2020,12,21,Private vehicle,5,2,3346356,355.5735971,357.6698809,3.728121575,0.000934748,0.008101947,0.063400009,0.004483384,0.00077039,0.072078404,0.00232163,0.002053876,0.026243173,0.008979021,0.003280285,0.001346838,5.56E-05,0.002737904,4998.691859,0.176723875
2020,12,31,Private vehicle,1,2,5747603968,465.2458955,468.9237355,6.03925194,0.001645501,0.036598121,0.335334247,0.01022473,0.002393985,0.37493182,0.005772584,0.005106538,0.027875816,0.008931279,0.003484477,0.001339685,0.000135982,0.003090658,6473.736934,0.366366609
2020,12,31,Private vehicle,2,2,219910064,603.8613458,604.9573621,2.770355794,0.056764437,0.262431791,1.547979287,0.002751266,0.014786849,1.825011083,0.085631688,0.078780906,0.031036056,0.011268829,0.003879509,0.001690318,0.001653317,0.002061065,8197.829129,0.311358192
2020,12,31,Private vehicle,5,2,14388629,442.5244807,445.2192308,3.92035155,0.001386373,0.012624413,0.097212528,0.006185231,0.001330078,0.11072271,0.0037465,0.003314214,0.027804386,0.008870755,0.003475522,0.001330634,9.22E-05,0.003407552,6221.055549,0.194005628
2020,12,32,Truck,1,2,708049920,486.8035548,490.6882791,6.196923878,0.001710495,0.036833909,0.315567693,0.010842706,0.002847798,0.35524354,0.00663623,0.005870535,0.029159173,0.009362591,0.003644897,0.001404381,0.000190508,0.003233867,6773.703984,0.316150477
2020,12,32,Truck,2,2,38908040,687.5456018,688.9762737,2.591759852,0.068277045,0.384730303,1.947519947,0.00321643,0.017714539,2.351058959,0.103560575,0.095275424,0.032207559,0.011917922,0.004025955,0.001787677,0.002610052,0.002347227,9333.899788,0.343591916
2020,12,32,Truck,5,2,2447174,439.0811736,441.6120145,3.59386664,0.001261046,0.009059838,0.075319123,0.005811601,0.001175233,0.085059338,0.003357751,0.002970365,0.028665718,0.008922945,0.003583317,0.001338278,8.91E-05,0.003381043,6172.649876,0.168986349
2020,12,52,Truck,1,2,88545200,1114.801424,1128.785292,11.47960373,0.004068374,0.043148945,0.624954712,0.04219847,0.011128384,0.673491595,0.022633288,0.020021842,0.054580519,0.013262345,0.006822561,0.001989346,0.000420395,0.007405698,15512.07896,1.198919061
2020,12,52,Truck,2,2,320734944,1095.741944,1097.934617,1.519195763,0.044084252,0.576387012,1.779634912,0.005208266,0.023199876,2.375022286,0.087788389,0.080765063,0.09150085,0.016760506,0.011437606,0.002514063,0.004758275,0.003690889,14875.44269,0.218361589
2020,12,52,Truck,3,2,3659341,1525.239208,2001.901348,22.86895701,0.000781835,0.12951403,0.881732804,0.293567612,0.002669333,1.019402127,0.008057188,0.007127513,0.15892397,0.017352851,0.019865599,0.002602928,7.24E-05,0.008075498,25836.9154,0.631812668
2020,12,53,Truck,1,2,5944063,1049.876226,1054.113705,8.094778269,0.00220001,0.032683705,0.383262593,0.011758119,0.008124914,0.419300738,0.015833614,0.014006749,0.043389008,0.012582134,0.005423563,0.001887261,0.000337143,0.006974354,14608.66743,0.822120997
2020,12,53,Truck,2,2,21667462,1002.589419,1004.020067,1.260316229,0.035794594,0.471750499,1.442504526,0.003326186,0.018210485,1.92969255,0.070598301,0.064950247,0.072090954,0.015870756,0.009011346,0.00238062,0.004102557,0.003370169,13610.83404,0.171792294
2020,12,53,Truck,3,2,256154,1401.30865,1771.859116,21.05740687,0.000671471,0.112658791,0.76698002,0.082825175,0.002283782,0.8867322,0.00689429,0.006097894,0.123808334,0.016423714,0.015475066,0.002463362,6.25E-05,0.007417413,23737.58236,0.560022486
2020,12,61,Truck,1,2,2141,1567.144792,1587.049977,142.4465203,0.008407286,0.370854741,5.697804764,0.036898645,0.032695002,6.117702008,0.063054647,0.056048575,0.069126576,0.017281644,0.008407286,0.002802429,0.001401214,0.010275572,21806.28305,7.490425035
2020,12,61,Truck,2,2,129700208,1757.006479,1758.514006,2.192084071,0.067267009,1.221545366,3.213649495,0.003008021,0.022880588,4.470962267,0.116813444,0.107468023,0.094999986,0.026453473,0.011875,0.003968004,0.008758745,0.005903213,23852.56153,0.244359038
2020,12,61,Truck,3,2,3497869,1593.26125,1927.722627,23.05708533,0.000616375,0.092398257,0.629048429,0.086308264,0.002084984,0.7272648,0.00628983,0.005563959,0.078583846,0.015913403,0.009822838,0.002386882,5.77E-05,0.008435422,26989.1777,0.497506053
2020,12,62,Truck,2,2,509433952,1785.993239,1787.256788,2.53292404,0.079858549,1.272521765,3.741863016,0.002013578,0.028749982,5.054823327,0.138615873,0.1275262,0.079649925,0.028308836,0.009956241,0.004246305,0.00807975,0.006016637,24246.07409,0.28319127
2020,17,21,Private vehicle,1,2,2722862080,341.9496549,344.1355584,3.831988176,0.00180011,0.01773344,0.174137096,0.005638322,0.00186483,0.193417867,0.005015349,0.004436674,0.023365746,0.008671058,0.002920718,0.001300652,9.10E-05,0.002271593,4758.112047,0.263739942
2020,17,21,Private vehicle,2,2,19646482,355.9067416,356.2139966,3.299250624,0.001024865,0.032597948,0.09326596,0.000680427,0.000498919,0.12687895,0.002385872,0.002194999,0.023365761,0.008671069,0.002920726,0.00130064,0.000486907,0.001198179,4831.676174,0.147907142
2020,17,21,Private vehicle,5,2,1779673,339.7292154,341.9370817,3.042893835,0.001395762,0.008145317,0.06816196,0.004446322,0.000956355,0.07692312,0.003114055,0.002754439,0.023365528,0.008671256,0.002920761,0.001300801,6.24E-05,0.002616211,4775.949883,0.171345522
2020,17,31,Private vehicle,1,2,3129621504,445.8947835,449.5373506,5.033487214,0.002633473,0.036529593,0.341198883,0.009932149,0.00295018,0.380774643,0.007699756,0.006811351,0.024450466,0.008600637,0.003056308,0.001290089,0.000149065,0.002962108,6204.472962,0.321384213
2020,17,31,Private vehicle,2,2,119740040,571.0529844,572.3110998,2.276174954,0.054689877,0.235303162,1.414434403,0.002606981,0.014146212,1.663041903,0.082366675,0.075777108,0.027482044,0.010851516,0.003435259,0.001627718,0.001606438,0.001948989,7752.433326,0.323141766
2020,17,31,Private vehicle,5,2,7835918,424.2564213,427.0081887,3.21134703,0.002130574,0.012631449,0.100104417,0.006025969,0.001640012,0.113645013,0.00504089,0.004459337,0.024383231,0.00854233,0.003047888,0.001281407,0.000103753,0.00326688,5964.241949,0.181225097
2020,17,32,Truck,1,2,379490144,464.513747,468.3931645,5.29258499,0.002647623,0.037183943,0.323344492,0.010643662,0.003296974,0.363435926,0.008336543,0.007374663,0.02593972,0.00906715,0.003242464,0.001360067,0.000201252,0.003085796,6463.549574,0.289491155
2020,17,32,Truck,2,2,20852666,650.5915574,652.2432031,2.125295825,0.065996214,0.343484234,1.778073844,0.003068337,0.01701087,2.138667353,0.099946213,0.091950209,0.028885084,0.011541738,0.003610617,0.001731241,0.002534544,0.002221011,8832.223717,0.351647123
2020,17,32,Truck,5,2,1311786,420.0726155,422.6793822,2.949049616,0.00196221,0.009112005,0.079132572,0.005734929,0.001453743,0.088956583,0.004557908,0.004031908,0.025466044,0.008641653,0.003183446,0.001295943,0.000100626,0.003234521,5905.425672,0.159394901
2020,17,52,Truck,1,2,50062596,1094.107677,1107.466113,11.43776915,0.005712728,0.047554106,0.668766478,0.040023933,0.012218523,0.722097352,0.025993199,0.022994073,0.047004035,0.012792085,0.005875504,0.001918798,0.000434776,0.007268221,15224.13317,0.932127451
2020,17,52,Truck,2,2,181340368,1073.251736,1076.05546,1.443339566,0.042239823,0.593687998,1.871608157,0.004905278,0.022092522,2.485177707,0.083894023,0.077182258,0.079088595,0.016166229,0.009886072,0.002424921,0.00454371,0.003614948,14570.12304,0.262500493
2020,17,52,Truck,3,2,2068962,1463.884997,1911.351025,22.04941608,0.000729351,0.121473473,0.826991989,0.278518407,0.002492071,0.956114225,0.007522129,0.006654545,0.137112233,0.016737378,0.017139029,0.002510438,6.77E-05,0.007750747,24797.59985,0.591683173
2020,17,53,Truck,1,2,3329459,1033.31976,1037.381441,7.876782985,0.002327405,0.036906296,0.430211935,0.011221943,0.007883263,0.47088491,0.015553278,0.013758692,0.03819179,0.012256946,0.004774049,0.001838437,0.00033519,0.006864479,14378.28977,0.624196303
2020,17,53,Truck,2,2,12136635,986.2889712,987.7224624,1.212899045,0.034660431,0.494655232,1.536823345,0.003169742,0.017564918,2.047861537,0.068248159,0.062788162,0.063649273,0.015460628,0.007956159,0.002319094,0.003962795,0.003315334,13389.54462,0.170516869
2020,17,53,Truck,3,2,143481,1358.505391,1710.068929,20.52165095,0.00063423,0.107310376,0.730577568,0.079055763,0.002167534,0.84464842,0.006537451,0.005784738,0.109052767,0.015995149,0.013632467,0.00239753,5.58E-05,0.00719259,23012.51249,0.53108774
2020,17,61,Truck,1,2,1270,1549.558268,1568.443307,144.2519685,0.009448819,0.419685039,6.432283465,0.034645669,0.033070866,6.906299213,0.064566929,0.056692913,0.059055118,0.017322835,0.007086614,0.002362205,0.001574803,0.01023622,21561.57008,5.939370079
2020,17,61,Truck,2,2,76940536,1737.772378,1739.305359,2.109893698,0.064827089,1.294671927,3.45220574,0.002841558,0.022007749,4.785158658,0.112499112,0.10349885,0.080360254,0.025746441,0.01004503,0.003861943,0.00842899,0.005838535,23591.44132,0.244461359
2020,17,61,Truck,3,2,2075003,1564.671959,1879.930259,22.59304878,0.00058024,0.087450476,0.59536444,0.080604221,0.001962889,0.688321414,0.005921919,0.005238547,0.066390265,0.015487688,0.008298783,0.00232337,5.45E-05,0.008284325,26504.88553,0.46930149
2020,17,62,Truck,2,2,321173088,1801.936183,1803.252726,2.636136388,0.078701563,1.437733612,4.257066819,0.001913728,0.030391457,5.740726272,0.14065643,0.129403507,0.065821324,0.027610321,0.008227663,0.004141527,0.008829635,0.006070836,24462.51038,0.306457582
2020,36,21,Private vehicle,1,2,2931385856,340.1042386,342.252669,3.405852869,0.001831888,0.016213793,0.158183824,0.005682623,0.001886224,0.175804049,0.00508401,0.004497412,0.022423184,0.008564968,0.002802898,0.001284739,9.10E-05,0.002259334,4732.434045,0.245803672
2020,36,21,Private vehicle,2,2,21151172,353.7669497,354.0759239,3.205133786,0.001031574,0.032671286,0.093381161,0.000679442,0.000498696,0.12706894,0.002394714,0.002203093,0.022423202,0.008564963,0.002802918,0.001284752,0.000488625,0.001190951,4802.627165,0.150787058
2020,36,21,Private vehicle,5,2,1915689,337.8908038,340.0526912,2.767307219,0.001444389,0.007547154,0.064423296,0.004484548,0.000983458,0.07255092,0.003209289,0.002839187,0.022423264,0.008565065,0.002802647,0.001284655,6.21E-05,0.002601675,4750.104402,0.164958404
2020,36,31,Private vehicle,1,2,3293121024,445.1258853,448.7592683,4.460404327,0.002722414,0.033763074,0.312581887,0.010184396,0.003008467,0.34913809,0.007887695,0.006977606,0.023810983,0.008534721,0.002976373,0.001280202,0.00014942,0.002956999,6193.772892,0.298661281
2020,36,31,Private vehicle,2,2,125998152,568.716681,570.0023237,2.231251011,0.054635825,0.234496741,1.40450352,0.002629467,0.014273543,1.652217883,0.082509869,0.075908843,0.026820917,0.010768309,0.003352613,0.001615238,0.00161673,0.001940981,7720.71591,0.325703126
